time,pos_x,pos_y,yaw,temperature,vibration
0.0,0.0,0.0,0,22.5,0.10
0.1,1.0,0.5,15,22.7,0.11
0.2,2.0,1.0,30,22.9,0.13
0.3,3.0,1.4,45,23.2,0.15
0.4,3.8,1.7,60,23.5,0.17
0.5,4.5,1.9,75,23.9,0.19
0.6,5.0,2.0,90,24.3,0.22
0.7,5.3,1.9,105,24.6,0.24
0.8,5.4,1.7,120,24.8,0.25
0.9,5.3,1.4,135,24.9,0.24
1.0,5.0,1.0,150,24.7,0.22
1.1,4.5,0.5,165,24.4,0.20
1.2,3.8,0.0,180,24.0,0.18
1.3,3.0,-0.5,195,23.6,0.16
1.4,2.0,-1.0,210,23.2,0.14
1.5,1.0,-1.4,225,22.9,0.13
1.6,0.0,-1.7,240,22.7,0.12
1.7,-1.0,-1.9,255,22.6,0.11
1.8,-2.0,-2.0,270,22.5,0.10
1.9,-3.0,-1.9,285,22.5,0.10
2.0,-3.8,-1.7,300,22.6,0.10
2.1,-4.5,-1.4,315,22.7,0.11
2.2,-5.0,-1.0,330,22.9,0.12
2.3,-5.3,-0.5,345,23.1,0.13
2.4,-5.4,0.0,360,23.3,0.14
