time,pos_x,pos_y,yaw,temperature,vibration
0.00,5.0000,0.0000,0.00,23.000,0.1500
0.50,4.9975,0.1571,1.80,23.063,0.1547
1.00,4.9901,0.3140,3.60,23.126,0.1594
1.50,4.9778,0.4705,5.40,23.188,0.1639
2.00,4.9606,0.6267,7.20,23.251,0.1684
2.50,4.9384,0.7822,9.00,23.313,0.1727
3.00,4.9114,0.9369,10.80,23.375,0.1768
3.50,4.8796,1.0907,12.60,23.436,0.1806
4.00,4.8429,1.2434,14.40,23.497,0.1842
4.50,4.8015,1.3950,16.20,23.558,0.1875
5.00,4.7553,1.5451,18.00,23.618,0.1905
5.50,4.7044,1.6937,19.80,23.677,0.1930
6.00,4.6489,1.8406,21.60,23.736,0.1952
6.50,4.5888,1.9857,23.40,23.794,0.1970
7.00,4.5241,2.1289,25.20,23.852,0.1984
7.50,4.4550,2.2700,27.00,23.908,0.1994
8.00,4.3815,2.4088,28.80,23.964,0.1999
8.50,4.3037,2.5452,30.60,24.018,0.2000
9.00,4.2216,2.6791,32.40,24.072,0.1996
9.50,4.1354,2.8104,34.20,24.124,0.1988
10.00,4.0451,2.9389,36.00,24.176,0.1976
10.50,3.9508,3.0645,37.80,24.226,0.1959
11.00,3.8526,3.1871,39.60,24.275,0.1938
11.50,3.7506,3.3066,41.40,24.323,0.1914
12.00,3.6448,3.4227,43.20,24.369,0.1885
12.50,3.5355,3.5355,45.00,24.414,0.1854
13.00,3.4227,3.6448,46.80,24.458,0.1819
13.50,3.3066,3.7506,48.60,24.500,0.1781
14.00,3.1871,3.8526,50.40,24.541,0.1741
14.50,3.0645,3.9508,52.20,24.580,0.1699
15.00,2.9389,4.0451,54.00,24.618,0.1655
15.50,2.8104,4.1354,55.80,24.654,0.1609
16.00,2.6791,4.2216,57.60,24.689,0.1563
16.50,2.5452,4.3037,59.40,24.721,0.1516
17.00,2.4088,4.3815,61.20,24.753,0.1469
17.50,2.2700,4.4550,63.00,24.782,0.1422
18.00,2.1289,4.5241,64.80,24.810,0.1376
18.50,1.9857,4.5888,66.60,24.836,0.1331
19.00,1.8406,4.6489,68.40,24.860,0.1287
19.50,1.6937,4.7044,70.20,24.882,0.1245
20.00,1.5451,4.7553,72.00,24.902,0.1206
20.50,1.3950,4.8015,73.80,24.921,0.1169
21.00,1.2434,4.8429,75.60,24.937,0.1136
21.50,1.0907,4.8796,77.40,24.952,0.1105
22.00,0.9369,4.9114,79.20,24.965,0.1078
22.50,0.7822,4.9384,81.00,24.975,0.1054
23.00,0.6267,4.9606,82.80,24.984,0.1035
23.50,0.4705,4.9778,84.60,24.991,0.1020
24.00,0.3140,4.9901,86.40,24.996,0.1009
24.50,0.1571,4.9975,88.20,24.999,0.1002
25.00,0.0000,5.0000,90.00,25.000,0.1000
25.50,-0.1571,4.9975,91.80,24.999,0.1002
26.00,-0.3140,4.9901,93.60,24.996,0.1009
26.50,-0.4705,4.9778,95.40,24.991,0.1020
27.00,-0.6267,4.9606,97.20,24.984,0.1035
27.50,-0.7822,4.9384,99.00,24.975,0.1054
